//Loading PDBs.
//PDB loading of cell: SRAMNSA_1
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
64                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<2>  BLN_S<2>  
65                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<1>  BLN_S<1>  
66                       4.83e-18   6.34e-19   1.31e-01    SRAMNSA_1  BLN_S<0>  BLN_S<0>  
67                       5.09e-16   1.41e-17   2.78e-02    SRAMNSA_1  SA_EN  SA_EN  
68                       2.77e-16   2.35e-19   8.49e-04    SRAMNSA_1  WL<0>  WL<0>  
69                       2.77e-16   1.20e-18   4.32e-03    SRAMNSA_1  WL<1>  WL<1>  
70                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<2>  WL<2>  
71                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<3>  WL<3>  
72                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<4>  WL<4>  
73                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<5>  WL<5>  
74                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<6>  WL<6>  
75                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<7>  WL<7>  
76                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<8>  WL<8>  
77                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<9>  WL<9>  
78                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<10>  WL<10>  
79                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<11>  WL<11>  
80                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<12>  WL<12>  
81                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<13>  WL<13>  
82                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<14>  WL<14>  
83                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<15>  WL<15>  
84                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<16>  WL<16>  
85                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<17>  WL<17>  
86                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<18>  WL<18>  
87                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<19>  WL<19>  
88                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<20>  WL<20>  
89                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<21>  WL<21>  
90                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<22>  WL<22>  
91                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<23>  WL<23>  
92                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<24>  WL<24>  
93                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<25>  WL<25>  
94                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<26>  WL<26>  
95                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<27>  WL<27>  
96                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<28>  WL<28>  
97                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<29>  WL<29>  
98                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<30>  WL<30>  
99                       2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<31>  WL<31>  
100                      2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<32>  WL<32>  
101                      2.77e-16   2.35e-19   8.48e-04    SRAMNSA_1  WL<33>  WL<33>  
