//Loading PDBs.
//PDB loading of cell: SRAM_16B_2
//Making the stats.
GID                       totalC    totalCC    ratioCC     Cell    Layout   Source
56                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X0/X0/X1/14  XI4/NET35  
57                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X0/X1/X1/11  XI5/NET33  
58                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X0/X1/X1/12  XI5/NET34  
59                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X0/X1/X1/13  XI5/NET36  
60                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X0/X1/X1/14  XI5/NET35  
61                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X1/X0/X1/11  XI6/NET33  
62                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X1/X0/X1/12  XI6/NET34  
63                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X1/X0/X1/13  XI6/NET36  
64                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X1/X0/X1/14  XI6/NET35  
65                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X1/X1/X1/11  XI7/NET33  
66                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X1/X1/X1/12  XI7/NET34  
67                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X1/X1/X1/13  XI7/NET36  
68                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X1/X1/X1/X1/14  XI7/NET35  
69                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X0/X0/X1/11  XI8/NET33  
70                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X0/X0/X1/12  XI8/NET34  
71                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X0/X0/X1/13  XI8/NET36  
72                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X0/X0/X1/14  XI8/NET35  
73                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X0/X1/X1/11  XI9/NET33  
74                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X0/X1/X1/12  XI9/NET34  
75                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X0/X1/X1/13  XI9/NET36  
76                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X0/X1/X1/14  XI9/NET35  
77                       3.55e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X1/X0/X1/11  XI10/NET33  
78                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X1/X0/X1/12  XI10/NET34  
79                       3.54e-18   0.00e+00   0.00e+00    SRAM_16B_2  X2/X1/X0/X1/13  XI10/NET36  
